GameID,Name,Platform,Year_of_Release,Genre,Publisher,North America,European Union,Japan,Other,Developer
4907,Madden NFL 2005,GBA,2004,Sports,Electronic Arts,0.28,0.1,0,0.01,Exient Entertainment
4912,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,Action,Square Enix,0.21,0.07,0.08,0.03,Square Enix
4914,Until Dawn: Rush of Blood,PS4,2016,Adventure,Sony Computer Entertainment,0.18,0.15,0,0.07,SuperMassive Games
4916,Sonic Lost World,WiiU,2013,Platform,Sega,0.23,0.12,0.01,0.03,Sonic Team
4918,Skylanders SWAP Force,PS4,2013,Platform,Activision,0.2,0.12,0,0.06,Vicarious Visions
4919,Iron Man 2,PS3,2010,Action,Sega,0.14,0.18,0,0.07,Sega Studios San Francisco
4921,Star Wars The Clone Wars: Republic Heroes,X360,2009,Action,LucasArts,0.18,0.17,0,0.04,Krome Studios
4923,Kengo: Master of Bushido,PS2,2000,Fighting,Ubisoft,0.16,0.13,0.06,0.04,Light Weight
4924,Blood Omen 2,PS2,2002,Action,Eidos Interactive,0.19,0.15,0,0.05,Crystal Dynamics
4925,Monopoly Streets,PS3,2010,Misc,Electronic Arts,0.16,0.17,0,0.06,Electronic Arts
4928,Condemned 2: Bloodshot,PS3,2008,Action,Sega,0.17,0.16,0,0.06,Monolith Productions
4930,Chessmaster,PS2,2003,Misc,Ubisoft,0.19,0.15,0,0.05,Ubisoft Romania
4933,The Darkness II,X360,2012,Shooter,Take-Two Interactive,0.24,0.11,0,0.03,Digital Extremes
4934,Ice Age 2: The Meltdown,PS2,2006,Platform,Vivendi Games,0.19,0.15,0,0.05,Eurocom Entertainment Software
4935,The Sims 2,GBA,2005,Simulation,Electronic Arts,0.28,0.1,0,0.01,Maxis
4936,Hitman: Blood Money,X360,2006,Action,Eidos Interactive,0.29,0.06,0.01,0.03,Io Interactive
4938,Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,Intelligent Systems
4939,Auto Modellista,PS2,2002,Racing,Capcom,0.19,0.15,0,0.05,Capcom
4942,Tom Clancy's Ghost Recon 2: Summit Strike,XB,2005,Shooter,Ubisoft,0.29,0.08,0,0.01,Red Storm Entertainment
4945,Just Dance 2015,PS4,2014,Misc,Ubisoft,0.19,0.13,0,0.07,Ubisoft
4947,Samurai Warriors Chronicles,3DS,2011,Action,Tecmo Koei,0.12,0.05,0.2,0.01,Omega Force
4953,One Piece: Unlimited World Red,3DS,2013,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,Ganbarion
4954,EA Sports Active 2,X360,2010,Sports,Electronic Arts,0.18,0.16,0,0.04,EA Canada
4955,MotoGP 08,PS3,2008,Racing,Capcom,0.07,0.24,0,0.08,Milestone S.r.l
4956,Red Faction: Armageddon,X360,2011,Shooter,THQ,0.18,0.16,0.01,0.04,Volition Inc.
4957,Harry Potter: Quidditch World Cup,GBA,2003,Sports,Electronic Arts,0.28,0.1,0,0.01,Magic Pockets
4958,Dungeon Siege III,PS3,2011,Role-Playing,Square Enix,0.17,0.13,0.03,0.05,Obsidian Entertainment
4964,Shin Megami Tensei: Nocturne,PS2,2003,Role-Playing,Ghostlight,0.07,0.05,0.25,0.02,Atlus Co.
4968,Farming Simulator 2013,X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0,0.04,Giants Software
4969,ESPN College Hoops 2K5,XB,2004,Sports,Sega,0.29,0.08,0,0.01,Visual Concepts
4970,Looney Tunes: Acme Arsenal,PS2,2007,Action,Warner Bros. Interactive Entertainment,0.19,0.15,0,0.05,Red Tribe
4973,Marvel: Ultimate Alliance,PS3,2006,Role-Playing,Activision,0.33,0.02,0,0.03,Raven Software
4976,Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,0.28,0.01,0.06,0.03,Atlus
4977,NFL GameDay 2002,PS2,2001,Sports,Sony Computer Entertainment,0.19,0.15,0,0.05,Red Zone Entertainment
4978,Naruto: Clash of Ninja Revolution 2,Wii,2008,Fighting,Tomy Corporation,0.34,0.02,0,0.03,Eighting
4979,Turok: Evolution,GC,2002,Shooter,Acclaim Entertainment,0.3,0.08,0,0.01,Acclaim
4980,NCAA Football 08,PS3,2007,Sports,Electronic Arts,0.35,0,0,0.03,EA Sports
4984,Sega Superstars Tennis,PS2,2008,Sports,Sega,0.1,0,0,0.28,Sumo Digital
4985,Headhunter,PS2,2002,Action,Sega,0.19,0.15,0,0.05,Amuze
4988,Viking: Battle for Asgard,PS3,2008,Action,Sega,0.14,0.17,0,0.07,Creative Assembly
4989,Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,0.26,0.05,0,0.07,Harmonix Music Systems
4992,Marvel Nemesis: Rise of the Imperfects,GC,2005,Fighting,Electronic Arts,0.3,0.08,0,0.01,"EA Canada, Nihilistic"
4994,Brunswick Pro Bowling,Wii,2007,Sports,505 Games,0.35,0.01,0,0.03,Point of View
4998,Bratz: Rock Angelz,PS2,2005,Misc,THQ,0.19,0.15,0,0.05,Blitz Games
4999,FlatOut,PS2,2004,Racing,Empire Interactive,0.19,0.15,0,0.05,Bugbear
5001,Battlefield 1,PC,2016,Shooter,Electronic Arts,0.11,0.24,0,0.03,EA DICE
5002,SSX 3,GC,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,EA Canada
5003,Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,Kojima Productions
5007,LocoRoco,PSP,2006,Platform,Sony Computer Entertainment,0.14,0.04,0.16,0.03,SCE Japan Studio
5008,Risk: Global Domination,PS2,2003,Strategy,Atari,0.19,0.15,0,0.05,Cyberlore Studios
5009,Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.11,0.21,0,0.06,Eidos Montreal
5012,Grandia Xtreme,PS2,2002,Role-Playing,Enix Corporation,0.07,0.05,0.25,0.02,Game Arts
5017,The Incredible Hulk,PS2,2008,Action,Sega,0.32,0.01,0,0.05,Edge of Reality
5018,Mercenaries 2: World in Flames,PS2,2008,Shooter,Electronic Arts,0.21,0,0,0.17,Artificial Mind and Movement
5019,Saints Row: The Third,PC,2011,Action,THQ,0.16,0.16,0,0.06,Volition Inc.
5020,Ghost Trick: Phantom Detective,DS,2010,Adventure,Capcom,0.17,0.07,0.12,0.02,Capcom
5023,Hunter: The Reckoning,XB,2002,Action,Interplay,0.28,0.08,0,0.01,High Voltage Software
5024,MX vs. ATV Untamed,PS2,2007,Racing,THQ,0.32,0.01,0,0.05,Rainbow Studios
5027,Dawn of Discovery,PC,2009,Simulation,Ubisoft,0,0.32,0,0.06,"Blue Byte, Related Designs"
5030,Get Fit with Mel B,PS3,2010,Sports,Black Bean Games,0.15,0.16,0,0.07,Lightning Fish Games
5032,Pokemon Channel,GC,2003,Adventure,Nintendo,0.24,0.06,0.07,0.01,Ambrella
5038,Virtua Tennis 2009,PS3,2009,Sports,Sega,0.09,0.22,0,0.06,Sumo Digital
5039,The Dog Island,Wii,2007,Adventure,Ubisoft,0.34,0.01,0,0.03,Yuke's
5041,Madagascar: Escape 2 Africa,PS2,2008,Action,Activision,0.12,0,0,0.26,Toys for Bob
5043,Need for Speed: Nitro,DS,2009,Racing,Electronic Arts,0.21,0.13,0,0.04,Firebrand Games
5044,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,Namco Bandai Games,0.13,0.04,0.19,0.03,CyberConnect2
5049,Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0,0.33,0,0.05,Ensemble Studios
5052,EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.05,SCEE
